Match,Duo1_W/L,Duo1_Points,Duo1_Carry_KDA,Duo1_Carry_Pts,Duo1_Carry_Elo,Duo1_Noob_KDA,Duo1_Noob_Pts,Duo1_Noob_Elo,Duo2_W/L,Duo2_Points,Duo2_Carry_KDA,Duo2_Carry_Pts,Duo2_Carry_Elo,Duo2_Noob_KDA,Duo2_Noob_Pts,Duo2_Noob_Elo,Duo3_W/L,Duo3_Points,Duo3_Carry_KDA,Duo3_Carry_Pts,Duo3_Carry_Elo,Duo3_Noob_KDA,Duo3_Noob_Pts,Duo3_Noob_Elo
1,W,48,18/1/21,24,B4 29LP (x0.75),10/4/10,24,B4 30LP (x1.00),1,L,-9,4/6/5,-6,B4 0LP (x0.80),4/7/4,-3,B4 0LP (x1.00),1,W,55,20/1/25,32,B4 26LP (x0.88),8/2/12,23,B4 29LP (x0.95)
2,W,81,20/1/23,17,B4 57LP (x0.75),10/2/13,16,B4 58LP (x1.00),2,W,42,20/1/22,28,B4 27LP (x0.80),10/2/7,23,B4 31LP (x1.00),2,W,97,20/2/21,19,B4 55LP (x0.88),13/2/18,23,B4 59LP (x0.95)
3,L,37,8/3/9,-19,B4 40LP (x0.75),2/7/7,-25,B4 38LP (x1.00),3,W,72,18/1/16,15,B4 55LP (x0.80),11/3/12,15,B4 62LP (x1.00),3,W,126,16/2/20,14,B4 82LP (x0.88),11/2/13,15,B4 84LP (x0.95)
4,W,51,20/1/25,15,B4 66LP (x0.75),4/4/10,-1,B4 64LP (x1.00),4,L,35,9/3/12,-13,B4 32LP (x0.80),5/7/7,-24,B4 42LP (x1.00),4,W,263,13/1/14,67,B3 12LP (x0.95),18/1/18,70,B3 11LP (x1.00)
5,W,43,20/1/18,5,B4 93LP (x0.75),6/4/4,-13,B4 90LP (x1.00),5,W,48,15/2/20,11,B4 61LP (x0.80),6/3/10,2,B4 73LP (x1.00),5,W,361,12/2/18,41,B3 38LP (x0.95),14/2/17,57,B3 39LP (x1.00)
6,W,173,20/1/18,56,B3 20LP (x0.80),7/2/10,74,B3 18LP (x1.05),6,L,3,7/5/8,-20,B4 43LP (x0.80),5/6/6,-25,B4 53LP (x1.00),6,W,390,20/2/10,11,B3 65LP (x0.95),14/3/14,18,B3 70LP (x1.00)
7,L,146,8/3/12,-2,B3 0LP (x0.80),2/7/4,-25,B4 75LP (x1.00),7,W,14,15/1/14,6,B4 72LP (x0.80),10/4/13,5,B4 82LP (x1.00),7,L,343,8/5/8,-24,B3 44LP (x0.95),5/3/7,-23,B3 48LP (x1.00)
8,L,102,10/3/12,-19,B4 75LP (x0.75),2/8/7,-25,B4 54LP (x1.00),8,W,145,14/1/18,61,B3 1LP (x0.88),8/3/9,70,B3 8LP (x1.00),8,W,361,13/1/21,9,B3 70LP (x0.95),8/2/18,9,B3 74LP (x1.00)
9,W,152,18/1/22,56,B3 4LP (x0.80),5/2/7,-6,B4 85LP (x1.00),9,W,203,16/1/16,32,B3 31LP (x0.88),6/2/9,26,B3 39LP (x1.00),9,W,498,14/2/13,67,B2 0LP (x0.95),8/2/18,70,B2 0LP (x1.00)
10,W,241,20/1/16,24,B3 32LP (x0.80),4/3/5,65,B3 15LP (x1.05),10,W,224,15/2/18,12,B3 58LP (x0.88),10/2/9,9,B3 68LP (x1.00),10,W,566,13/1/12,31,B2 27LP (x0.95),8/2/16,37,B2 26LP (x1.00)
11,W,292,20/1/14,22,B3 58LP (x0.80),10/3/9,29,B3 41LP (x1.05),11,W,274,20/2/14,27,B3 88LP (x0.88),8/2/14,23,B3 95LP (x1.00),11,W,585,13/1/18,14,B2 57LP (x0.95),5/4/9,5,B2 53LP (x1.00)
12,W,313,15/1/23,6,B3 85LP (x0.80),11/1/13,15,B3 68LP (x1.05),12,L,227,8/3/11,-22,B3 66LP (x0.88),3/7/4,-25,B3 76LP (x1.00),12,W,662,12/1/14,24,B2 86LP (x0.95),18/1/24,53,B2 79LP (x1.00)
13,W,388,16/1/21,56,B2 14LP (x0.80),6/4/13,19,B3 98LP (x1.05),13,W,301,20/1/14,4,B3 97LP (x0.88),11/2/9,70,B2 2LP (x1.00),13,W,799,20/1/16,67,B1 16LP (x0.95),11/2/14,70,B1 7LP (x1.00)
14,W,479,20/1/14,20,B2 42LP (x0.80),6/4/10,71,B2 29LP (x1.05),14,W,372,15/2/20,61,B2 24LP (x0.88),5/6/6,10,B2 31LP (x1.00),14,L,750,6/3/11,-24,B2 75LP (x0.95),5/3/10,-25,B2 75LP (x1.00)
15,L,451,8/3/13,-10,B2 20LP (x0.80),2/6/4,-18,B2 11LP (x1.05),15,W,419,16/1/18,25,B2 51LP (x0.88),10/3/10,22,B2 58LP (x1.00),15,W,887,13/1/21,67,B1 3LP (x0.95),10/1/14,70,B1 1LP (x1.00)
