Match,Duo1_W/L,Duo1_Points,Duo1_Carry_KDA,Duo1_Carry_Pts,Duo1_Carry_Elo,Duo1_Noob_KDA,Duo1_Noob_Pts,Duo1_Noob_Elo,Duo2_W/L,Duo2_Points,Duo2_Carry_KDA,Duo2_Carry_Pts,Duo2_Carry_Elo,Duo2_Noob_KDA,Duo2_Noob_Pts,Duo2_Noob_Elo,Duo3_W/L,Duo3_Points,Duo3_Carry_KDA,Duo3_Carry_Pts,Duo3_Carry_Elo,Duo3_Noob_KDA,Duo3_Noob_Pts,Duo3_Noob_Elo
1,L,86,7/1/15,95,B4 0LP (x1.00),3/8/6,-9,B4 0LP (x1.00),1,W,67,7/7/7,30,B4 28LP (x1.00),10/5/7,37,B4 27LP (x1.00),1,W,78,4/5/11,35,B4 27LP (x1.00),5/4/13,43,B4 28LP (x1.00)
2,W,224,12/2/20,100,B4 31LP (x1.00),9/6/13,38,B4 27LP (x1.00),2,L,90,8/3/9,13,B4 7LP (x1.00),11/4/9,10,B4 7LP (x1.00),2,W,194,9/3/12,55,B4 54LP (x1.00),16/4/17,61,B4 57LP (x1.00)
3,W,652,32/1/29,325,B4 61LP (x1.00),18/2/15,103,B4 57LP (x1.00),3,L,83,8/5/8,1,B4 0LP (x1.00),4/10/10,-8,B4 0LP (x1.00),3,W,302,9/4/20,56,B4 82LP (x1.00),12/3/7,52,B4 87LP (x1.00)
4,L,649,6/4/10,5,B4 41LP (x1.00),4/8/7,-8,B4 36LP (x1.00),4,W,177,9/3/19,67,B4 25LP (x1.00),2/7/8,27,B4 31LP (x1.00),4,L,299,4/5/12,1,B4 62LP (x1.00),7/8/11,-4,B4 69LP (x1.00)
5,L,725,10/1/10,85,B4 20LP (x1.00),4/8/6,-9,B4 14LP (x1.00),5,L,182,6/3/10,12,B4 4LP (x1.00),5/7/6,-7,B4 14LP (x1.00),5,W,418,12/3/12,60,B4 92LP (x1.00),13/4/18,59,B4 97LP (x1.00)
6,W,915,10/1/17,155,B4 47LP (x1.00),5/5/10,35,B4 42LP (x1.00),6,L,262,7/1/13,85,B4 0LP (x1.00),4/5/6,-5,B4 0LP (x1.00),6,W,512,12/4/11,49,B3 18LP (x1.00),9/4/11,45,B3 26LP (x1.00)
7,L,914,11/4/9,10,B4 25LP (x1.00),1/9/6,-11,B4 23LP (x1.00),7,W,371,9/2/7,60,B4 29LP (x1.00),13/4/10,49,B4 30LP (x1.00),7,L,510,7/3/6,7,B3 0LP (x1.00),2/7/7,-9,B3 6LP (x1.00)
8,L,915,6/3/8,8,B4 3LP (x1.00),4/8/9,-7,B4 1LP (x1.00),8,W,587,18/1/13,175,B4 59LP (x1.00),4/4/13,41,B4 61LP (x1.00),8,W,645,4/2/8,50,B3 26LP (x1.00),9/2/17,85,B3 36LP (x1.00)
9,W,1032,12/3/23,78,B4 31LP (x1.00),5/4/10,39,B4 29LP (x1.00),9,W,680,10/4/13,49,B4 89LP (x1.00),13/4/6,44,B4 91LP (x1.00),9,W,759,16/4/17,61,B3 56LP (x1.00),13/4/13,53,B3 64LP (x1.00)
10,W,1153,20/3/19,85,B4 59LP (x1.00),9/5/7,36,B4 57LP (x1.00),10,W,903,17/1/13,170,B3 20LP (x1.00),13/3/7,53,B3 19LP (x1.00),10,L,742,3/13/4,-12,B3 37LP (x1.00),5/7/9,-5,B3 45LP (x1.00)
11,L,1147,6/4/9,4,B4 40LP (x1.00),6/12/7,-10,B4 39LP (x1.00),11,W,990,12/3/12,60,B3 45LP (x1.00),5/11/10,27,B3 47LP (x1.00),11,W,902,17/2/11,90,B3 67LP (x1.00),8/2/12,70,B3 72LP (x1.00)
12,W,1343,32/2/20,150,B4 66LP (x1.00),8/4/13,46,B4 66LP (x1.00),12,W,1253,14/1/18,180,B3 71LP (x1.00),16/2/9,83,B3 77LP (x1.00),12,W,1195,16/1/19,195,B3 95LP (x1.00),23/3/24,98,B3 99LP (x1.00)
13,W,1483,16/2/20,110,B4 95LP (x1.00),1/4/7,30,B4 94LP (x1.00),13,W,1620,29/1/30,315,B3 98LP (x1.00),13/3/6,52,B2 7LP (x1.00),13,W,1299,13/4/14,54,B2 21LP (x1.00),7/3/11,50,B2 26LP (x1.00)
14,W,1614,14/2/19,103,B3 22LP (x1.00),4/6/5,28,B3 23LP (x1.00),14,W,1747,16/2/17,103,B2 28LP (x1.00),2/7/4,24,B2 36LP (x1.00),14,W,1422,4/2/10,55,B2 51LP (x1.00),9/2/10,68,B2 52LP (x1.00)
15,W,1810,12/1/17,165,B3 49LP (x1.00),1/4/8,31,B3 51LP (x1.00),15,W,1972,29/2/33,175,B2 56LP (x1.00),10/4/14,50,B2 66LP (x1.00),15,W,1570,16/2/19,108,B2 79LP (x1.00),7/5/13,40,B2 77LP (x1.00)
16,L,1810,10/4/10,10,B3 28LP (x1.00),4/8/4,-10,B3 29LP (x1.00),16,W,2306,29/1/26,295,B2 81LP (x1.00),4/4/11,39,B2 92LP (x1.00),16,L,1568,4/7/10,-5,B2 61LP (x1.00),4/4/10,3,B2 55LP (x1.00)
17,W,1956,13/2/19,100,B3 56LP (x1.00),8/4/13,46,B3 56LP (x1.00),17,L,2307,6/3/7,7,B2 60LP (x1.00),6/7/6,-6,B2 73LP (x1.00),17,W,1766,12/1/17,165,B2 91LP (x1.00),7/5/6,33,B2 84LP (x1.00)
18,W,2209,17/1/22,215,B3 84LP (x1.00),9/6/12,38,B3 84LP (x1.00),18,W,2428,17/3/20,82,B2 86LP (x1.00),9/5/10,39,B1 0LP (x1.00),18,W,1886,8/3/19,65,B1 19LP (x1.00),7/3/14,55,B1 12LP (x1.00)
19,W,2387,12/1/13,145,B2 10LP (x1.00),8/4/2,33,B2 12LP (x1.00),19,W,2526,9/3/17,63,B1 12LP (x1.00),5/4/7,35,B1 30LP (x1.00),19,W,1989,14/4/20,63,B1 47LP (x1.00),9/5/11,40,B1 39LP (x1.00)
20,W,2568,36/2/18,155,B2 36LP (x1.00),5/11/8,26,B2 39LP (x1.00),20,W,2762,14/1/20,190,B1 40LP (x1.00),13/5/13,46,B1 56LP (x1.00),20,L,1995,8/7/14,1,B1 28LP (x1.00),6/4/10,5,B1 19LP (x1.00)
21,W,2698,17/2/16,103,B2 66LP (x1.00),3/5/4,27,B2 68LP (x1.00),21,W,2887,17/3/20,82,B1 68LP (x1.00),10/5/13,43,B1 83LP (x1.00),21,W,2087,10/3/14,60,B1 58LP (x1.00),5/5/7,32,B1 49LP (x1.00)
22,W,2823,16/2/13,93,B2 94LP (x1.00),7/6/7,32,B2 97LP (x1.00),22,W,3122,18/1/17,195,B1 97LP (x1.00),4/4/12,40,S4 12LP (x1.00),22,W,2319,13/1/16,165,B1 88LP (x1.00),14/3/14,67,B1 79LP (x1.00)
23,L,2888,6/0/12,75,B2 72LP (x1.00),4/12/8,-10,B2 77LP (x1.00),23,W,3223,5/7/8,29,S4 23LP (x1.00),16/3/15,72,S4 42LP (x1.00),23,W,2486,14/2/20,105,S4 17LP (x1.00),13/3/12,62,S4 5LP (x1.00)
24,W,3176,23/1/21,240,B1 1LP (x1.00),10/4/12,48,B1 2LP (x1.00),24,W,3449,10/1/22,180,S4 50LP (x1.00),13/5/13,46,S4 70LP (x1.00),24,L,2494,7/7/13,-1,S4 0LP (x1.00),8/4/11,9,B1 75LP (x1.00)
25,W,3284,8/2/10,65,B1 29LP (x1.00),5/4/13,43,B1 32LP (x1.00),25,L,3505,8/1/8,65,S4 27LP (x1.00),5/7/3,-9,S4 48LP (x1.00),25,W,2595,13/3/12,62,S4 31LP (x1.00),8/4/7,39,S4 6LP (x1.00)
26,W,3406,12/3/19,72,B1 57LP (x1.00),10/4/14,50,B1 62LP (x1.00),26,W,3615,5/2/7,50,S4 58LP (x1.00),8/3/16,60,S4 75LP (x1.00),26,W,2721,10/3/10,53,S4 60LP (x1.00),16/3/16,73,S4 37LP (x1.00)
27,W,3525,17/3/22,85,B1 87LP (x1.00),10/5/4,34,B1 87LP (x1.00),27,L,3624,9/3/9,15,S4 38LP (x1.00),7/9/9,-6,S4 57LP (x1.00),27,W,2981,16/4/16,60,S4 89LP (x1.00),9/1/27,200,S4 65LP (x1.00)
28,L,3517,8/5/10,3,B1 64LP (x1.00),3/10/5,-11,B1 69LP (x1.00),28,L,3635,6/3/14,18,S4 18LP (x1.00),6/9/9,-7,S4 39LP (x1.00),28,W,3148,16/3/18,77,S3 20LP (x1.00),14/2/14,90,S4 92LP (x1.00)
29,L,3518,10/4/9,9,B1 45LP (x1.00),4/9/8,-8,B1 51LP (x1.00),29,W,3775,13/2/20,103,S4 45LP (x1.00),10/5/7,37,S4 64LP (x1.00),29,L,3134,4/9/5,-10,S3 3LP (x1.00),4/7/12,-4,S4 71LP (x1.00)
30,W,3664,10/2/24,105,B1 73LP (x1.00),12/4/5,41,B1 80LP (x1.00),30,L,3784,7/3/10,13,S4 22LP (x1.00),7/7/8,-4,S4 42LP (x1.00),30,W,3352,16/1/16,180,S3 33LP (x1.00),7/5/11,38,S4 96LP (x1.00)
31,L,3754,7/1/15,95,B1 54LP (x1.00),4/7/10,-5,B1 62LP (x1.00),31,W,3914,12/3/16,67,S4 49LP (x1.00),9/2/8,63,S4 73LP (x1.00),31,W,3519,10/2/20,95,S3 63LP (x1.00),13/3/18,72,S3 24LP (x1.00)
32,W,3887,17/2/18,108,B1 81LP (x1.00),4/7/3,25,B1 91LP (x1.00),32,W,4094,14/3/11,62,S4 77LP (x1.00),22/2/17,118,S3 0LP (x1.00),32,W,3640,13/4/16,56,S3 92LP (x1.00),14/3/13,65,S3 53LP (x1.00)
33,W,4003,18/3/17,78,S4 11LP (x1.00),9/6/13,38,S4 19LP (x1.00),33,L,4084,5/5/11,1,S4 60LP (x1.00),2/10/6,-11,S4 75LP (x1.00),33,L,3628,6/7/13,-1,S3 70LP (x1.00),3/7/3,-11,S3 35LP (x1.00)
34,W,4198,13/1/16,165,S4 40LP (x1.00),4/5/6,30,S4 45LP (x1.00),34,W,4351,12/1/22,190,S4 88LP (x1.00),22/3/12,77,S3 5LP (x1.00),34,W,3762,17/2/8,83,S3 95LP (x1.00),7/4/18,51,S3 61LP (x1.00)
35,L,4193,8/5/15,8,S4 20LP (x1.00),2/18/4,-13,S4 24LP (x1.00),35,W,4482,10/2/18,90,S3 17LP (x1.00),8/5/13,41,S3 33LP (x1.00),35,W,3866,12/4/16,55,S2 23LP (x1.00),13/4/10,49,S3 89LP (x1.00)
36,L,4177,5/5/8,-2,B1 75LP (x1.00),1/13/1,-14,S4 7LP (x1.00),36,W,4615,14/2/18,100,S3 46LP (x1.00),9/6/7,33,S3 63LP (x1.00),36,L,3867,7/5/10,2,S2 5LP (x1.00),4/5/10,-1,S3 71LP (x1.00)
37,W,4341,20/2/19,118,S4 4LP (x1.00),8/4/13,46,S4 33LP (x1.00),37,W,4909,25/1/20,245,S3 75LP (x1.00),9/4/14,49,S3 91LP (x1.00),37,W,4028,10/2/19,93,S2 32LP (x1.00),5/2/14,68,S3 97LP (x1.00)
38,W,4566,17/1/18,195,S4 32LP (x1.00),3/4/5,30,S4 60LP (x1.00),38,W,5016,13/3/12,62,S2 1LP (x1.00),12/4/8,45,S2 17LP (x1.00),38,W,4132,13/3/20,75,S2 58LP (x1.00),7/7/6,29,S2 25LP (x1.00)
39,W,4769,17/2/20,113,S4 61LP (x1.00),22/2/6,90,S4 88LP (x1.00),39,L,5003,8/7/14,1,S3 75LP (x1.00),1/14/3,-14,S2 0LP (x1.00),39,W,4245,14/3/10,60,S2 84LP (x1.00),10/3/10,53,S2 53LP (x1.00)
40,L,4865,8/1/14,95,S4 42LP (x1.00),4/4/9,1,S4 69LP (x1.00),40,L,4999,6/4/12,8,S3 57LP (x1.00),3/14/6,-12,S3 75LP (x1.00),40,L,4287,11/3/20,37,S2 63LP (x1.00),8/5/12,5,S2 33LP (x1.00)
41,L,4871,10/3/9,17,S4 20LP (x1.00),3/7/2,-11,S4 47LP (x1.00),41,L,4988,8/5/8,1,S3 38LP (x1.00),1/9/4,-12,S3 57LP (x1.00),41,L,4283,8/8/10,-4,S2 45LP (x1.00),4/5/11,0,S2 14LP (x1.00)
42,W,5009,16/2/20,110,S4 50LP (x1.00),4/5/4,28,S4 77LP (x1.00),42,W,5296,18/1/26,240,S3 68LP (x1.00),9/3/20,68,S3 86LP (x1.00),42,W,4388,9/4/12,46,S2 72LP (x1.00),13/4/18,59,S2 44LP (x1.00)
43,W,5101,6/2/10,60,S4 78LP (x1.00),4/5/8,32,S3 4LP (x1.00),43,W,5369,5/7/11,31,S3 97LP (x1.00),10/5/12,42,S2 15LP (x1.00),43,L,4378,4/7/7,-7,S2 54LP (x1.00),6/7/11,-3,S2 27LP (x1.00)
44,W,5299,16/1/13,165,S3 5LP (x1.00),9/5/4,33,S3 33LP (x1.00),44,L,5377,8/3/9,13,S3 74LP (x1.00),6/5/4,-5,S3 75LP (x1.00),44,L,4366,6/7/6,-6,S2 32LP (x1.00),6/9/10,-6,S2 4LP (x1.00)
45,W,5524,16/1/18,190,S3 36LP (x1.00),8/5/7,35,S3 63LP (x1.00),45,W,5544,12/2/16,90,S2 0LP (x1.00),23/3/11,77,S2 4LP (x1.00),45,W,4616,14/1/14,160,S2 62LP (x1.00),12/2/16,90,S2 33LP (x1.00)
46,W,5627,12/3/24,80,S3 62LP (x1.00),2/9/4,23,S3 89LP (x1.00),46,W,5637,10/4/16,53,S2 31LP (x1.00),4/5/16,40,S2 32LP (x1.00),46,W,4761,17/3/20,82,S2 89LP (x1.00),7/2/10,63,S2 60LP (x1.00)
